file,title,knowledge_id,bytes,parse_status,summary_status,enable_status
户外广告机.md,户外广告机.md,40b9d6e0-7fbf-41d4-8af5-07fdb16f44d0,3931,completed,completed,enabled
扼流圈.md,扼流圈.md,26f1b6d6-1987-4803-ad8d-b5cc25947a5b,6038,completed,completed,enabled
抛负载.md,抛负载.md,68b21081-314c-4268-bb31-1736be87c6d5,2597,completed,completed,enabled
振荡线圈变换器.md,振荡线圈变换器.md,08531fa3-3be2-44ad-99d4-3f29ba8b909e,6231,completed,completed,enabled
斯纳普10A型.md,斯纳普10A型.md,44a61e35-ac9e-4816-8301-ac24970d390b,6850,completed,completed,enabled
无差拍控制.md,无差拍控制.md,8aacab9e-f3d4-4ace-b1fb-a86f09746394,1297,completed,completed,enabled
无段自动变速器.md,无段自动变速器.md,2e1bf332-39d6-4ed1-a395-dcc99b23ba99,6970,completed,completed,enabled
日本国铁105系电联车.md,日本国铁105系电联车.md,5bba5711-ea0e-44ef-946f-08262b53c18b,3451,completed,completed,enabled
日本国铁DC11型柴油机车.md,日本国铁DC11型柴油机车.md,b344c931-d4d8-477a-84dc-ab6cbaad460f,4613,completed,completed,enabled
日本国铁DD15型柴油机车.md,日本国铁DD15型柴油机车.md,67310ddd-30d2-4bcf-bf15-4d64a22d9031,7456,completed,completed,enabled
日本国铁DF41型柴油机车.md,日本国铁DF41型柴油机车.md,d8fef412-9455-4a36-9eae-d7d26414a9a2,3261,completed,completed,enabled
日本国铁DF90型柴油机车.md,日本国铁DF90型柴油机车.md,b0a6ec96-ff9b-424e-8d90-074adf76af11,7300,completed,completed,enabled
日本国铁DF93型柴油机车.md,日本国铁DF93型柴油机车.md,91d1252b-734b-491e-b6d4-1eadb435dff2,5956,completed,completed,enabled
日本国铁ED12型电力机车.md,日本国铁ED12型电力机车.md,a65f5d83-9f61-4a18-b299-389a373453b0,5828,completed,completed,enabled
日本国铁ED46型电力机车.md,日本国铁ED46型电力机车.md,b346037c-9d1e-4975-a8ee-f3a03b1f0a48,7768,completed,completed,enabled
日本国铁ED53型电力机车.md,日本国铁ED53型电力机车.md,2c43941f-42b8-40d5-b16d-cb9ef9b2ff54,5220,completed,completed,enabled
日本国铁ED54型电力机车.md,日本国铁ED54型电力机车.md,5523e057-e0f8-4693-aebc-0256f1f6da07,5088,completed,completed,enabled
日本国铁ED56型电力机车.md,日本国铁ED56型电力机车.md,64411c37-a11e-41b4-a8fa-1663551af735,3594,completed,completed,enabled
日本国铁ED57型电力机车.md,日本国铁ED57型电力机车.md,832436c6-74e7-47f4-bad4-3b45df8f8488,3153,completed,completed,enabled
日本国铁ED70型电力机车.md,日本国铁ED70型电力机车.md,1e842503-f9f8-41c3-8d99-266f17f0e331,7249,completed,completed,enabled
日本国铁ED73型电力机车.md,日本国铁ED73型电力机车.md,70c4ce97-5501-4a62-a991-4df76a893334,7576,completed,completed,enabled
日本国铁ED74型电力机车.md,日本国铁ED74型电力机车.md,ed17810a-f1fb-43b9-b366-91a2cfb369c2,7003,completed,completed,enabled
日本国铁EF13型电力机车.md,日本国铁EF13型电力机车.md,5d8fdcba-e177-411d-9396-a37598b84ca1,6683,completed,completed,enabled
日本国铁EF50型电力机车.md,日本国铁EF50型电力机车.md,f751c969-0a96-4d57-acea-12758b234ba2,4160,completed,completed,enabled
日本国铁EF53型电力机车.md,日本国铁EF53型电力机车.md,a0f20eef-5c11-4678-b59e-e78c759e9f6d,6739,completed,completed,enabled
日本国铁EF56型电力机车.md,日本国铁EF56型电力机车.md,933fd427-0ed7-4bbf-a58b-f5844d21de04,4900,completed,completed,enabled
日本国铁EF57型电力机车.md,日本国铁EF57型电力机车.md,1952e5e4-06b4-4e5f-96e0-9b72940f4be3,7534,completed,completed,enabled
旭格国际集团.md,旭格国际集团.md,33c49c5c-4e2a-418e-9401-a6ff5d8db72d,7203,completed,completed,enabled
